URL,HELP Include,HELP Cat,HELP Keywords,Include,Header,Depth,Notes,Duplicate slugs
https://mariadb.com/kb/en/performance-schema-events_statements_summary_by_digest-table/,0,,,1,,8,,
https://mariadb.com/kb/en/performance-schema-events_statements_summary_by_host_by_event_name-table/,0,,,1,,8,,
https://mariadb.com/kb/en/performance-schema-events_statements_summary_by_program-table/,0,,,1,,8,,
https://mariadb.com/kb/en/performance-schema-events_statements_summary_by_thread_by_event_name-table/,0,,,1,,8,,
https://mariadb.com/kb/en/performance-schema-events_statements_summary_by_user_by_event_name-table/,0,,,1,,8,,
https://mariadb.com/kb/en/performance-schema-events_statements_summary_global_by_event_name-table/,0,,,1,,8,,
https://mariadb.com/kb/en/performance-schema-events_transactions_current-table/,0,,,1,,8,,
https://mariadb.com/kb/en/performance-schema-events_transactions_history-table/,0,,,1,,8,,
https://mariadb.com/kb/en/performance-schema-events_transactions_history_long-table/,0,,,1,,8,,
https://mariadb.com/kb/en/performance-schema-tables-performance-schema-events_transactions_summary_by/,0,,,1,,8,,
https://mariadb.com/kb/en/performance-schema-events_transactions_summary_by_host_by_event_name-table/,0,,,1,,8,,
https://mariadb.com/kb/en/performance-schema-events_transactions_summary_by_thread_by_event_name-tabl/,0,,,1,,8,,
https://mariadb.com/kb/en/performance-schema-events_transactions_summary_by_user_by_event_name-table/,0,,,1,,8,,
https://mariadb.com/kb/en/performance-schema-events_transactions_summary_global_by_event_name-table/,0,,,1,,8,,
https://mariadb.com/kb/en/performance-schema-events_waits_current-table/,0,,,1,,8,,
https://mariadb.com/kb/en/performance-schema-events_waits_history-table/,0,,,1,,8,,
https://mariadb.com/kb/en/performance-schema-events_waits_history_long-table/,0,,,1,,8,,
https://mariadb.com/kb/en/performance-schema-events_waits_summary_by_account_by_event_name-table/,0,,,1,,8,,
